    time        S        I          R
133 1.32 11459995 2.528953 2.44651415
134 1.33 11459995 2.533453 2.46732641
135 1.34 11459995 2.537960 2.48817570
136 1.35 11459995 2.542476 2.50906209
137 1.36 11459995 2.547000 2.52998564
138 1.37 11459995 2.551532 2.55094643
139 1.38 11459995 2.556072 2.57194450
140 1.39 11459995 2.560620 2.59297994
141 1.40 11459995 2.565176 2.61405281
142 1.41 11459995 2.569740 2.63516317
143 1.42 11459995 2.574312 2.65631110
144 1.43 11459995 2.578893 2.67749665
145 1.44 11459995 2.583482 2.69871990
146 1.45 11459995 2.588078 2.71998091
147 1.46 11459995 2.592683 2.74127974
148 1.47 11459995 2.597296 2.76261648
149 1.48 11459995 2.601918 2.78399118
150 1.49 11459995 2.606547 2.80540391
151 1.50 11459995 2.611185 2.82685475
152 1.51 11459995 2.615831 2.84834374
153 1.52 11459995 2.620486 2.86987098
154 1.53 11459994 2.625148 2.89143652
155 1.54 11459994 2.629819 2.91304043
156 1.55 11459994 2.634498 2.93468277
157 1.56 11459994 2.639186 2.95636363
158 1.57 11459994 2.643882 2.97808306
159 1.58 11459994 2.648586 2.99984114
160 1.59 11459994 2.653299 3.02163794
161 1.60 11459994 2.658020 3.04347351
162 1.61 11459994 2.662749 3.06534794
163 1.62 11459994 2.667487 3.08726129
164 1.63 11459994 2.672233 3.10921363
165 1.64 11459994 2.676988 3.13120502
166 1.65 11459994 2.681751 3.15323555
167 1.66 11459994 2.686522 3.17530528
168 1.67 11459994 2.691303 3.19741427
169 1.68 11459994 2.696091 3.21956261
170 1.69 11459994 2.700888 3.24175035
171 1.70 11459994 2.705694 3.26397757
172 1.71 11459994 2.710508 3.28624434
173 1.72 11459994 2.715331 3.30855072
174 1.73 11459994 2.720162 3.33089680
175 1.74 11459994 2.725002 3.35328264
176 1.75 11459994 2.729851 3.37570831
177 1.76 11459994 2.734708 3.39817388
178 1.77 11459994 2.739574 3.42067942
179 1.78 11459994 2.744448 3.44322501
180 1.79 11459994 2.749332 3.46581071
181 1.80 11459994 2.754223 3.48843660
182 1.81 11459994 2.759124 3.51110274
183 1.82 11459994 2.764033 3.53380922
184 1.83 11459994 2.768951 3.55655610
185 1.84 11459994 2.773878 3.57934345
186 1.85 11459994 2.778814 3.60217135
187 1.86 11459994 2.783758 3.62503986
188 1.87 11459994 2.788711 3.64794907
189 1.88 11459994 2.793673 3.67089903
190 1.89 11459994 2.798644 3.69388983
191 1.90 11459993 2.803623 3.71692154
192 1.91 11459993 2.808612 3.73999423
193 1.92 11459993 2.813609 3.76310797
194 1.93 11459993 2.818615 3.78626284
195 1.94 11459993 2.823631 3.80945890
196 1.95 11459993 2.828655 3.83269624
197 1.96 11459993 2.833688 3.85597493
198 1.97 11459993 2.838730 3.87929503
199 1.98 11459993 2.843781 3.90265663
200 1.99 11459993 2.848840 3.92605980
201 2.00 11459993 2.853909 3.94950460
202 2.01 11459993 2.858987 3.97299113
203 2.02 11459993 2.864074 3.99651944
204 2.03 11459993 2.869170 4.02008961
205 2.04 11459993 2.874275 4.04370172
206 2.05 11459993 2.879390 4.06735585
207 2.06 11459993 2.884513 4.09105206
208 2.07 11459993 2.889645 4.11479044
209 2.08 11459993 2.894787 4.13857105
210 2.09 11459993 2.899937 4.16239398
211 2.10 11459993 2.905097 4.18625929
212 2.11 11459993 2.910266 4.21016707
213 2.12 11459993 2.915444 4.23411738
214 2.13 11459993 2.920632 4.25811031
215 2.14 11459993 2.925829 4.28214594
216 2.15 11459993 2.931034 4.30622432
217 2.16 11459993 2.936250 4.33034555
218 2.17 11459993 2.941474 4.35450970
219 2.18 11459993 2.946708 4.37871684
220 2.19 11459993 2.951951 4.40296706
221 2.20 11459993 2.957203 4.42726042
222 2.21 11459993 2.962465 4.45159701
223 2.22 11459993 2.967736 4.47597690
224 2.23 11459993 2.973017 4.50040017
225 2.24 11459992 2.978306 4.52486690
226 2.25 11459992 2.983606 4.54937715
227 2.26 11459992 2.988914 4.57393102
228 2.27 11459992 2.994232 4.59852858
229 2.28 11459992 2.999560 4.62316991
230 2.29 11459992 3.004897 4.64785507
231 2.30 11459992 3.010244 4.67258416
232 2.31 11459992 3.015600 4.69735726
233 2.32 11459992 3.020966 4.72217442
234 2.33 11459992 3.026341 4.74703575
235 2.34 11459992 3.031725 4.77194131
236 2.35 11459992 3.037120 4.79689119
237 2.36 11459992 3.042524 4.82188546
238 2.37 11459992 3.047937 4.84692420
239 2.38 11459992 3.053360 4.87200749
240 2.39 11459992 3.058793 4.89713541
